"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Urban population (% of total)","SP.URB.TOTL.IN.ZS","50.776","50.761","50.746","50.73","50.715","50.7","50.685","50.67","50.654","50.639","50.624","50.609","50.593","50.578","50.563","50.548","50.532","50.517","50.502","50.487","50.472","50.456","50.441","50.426","50.411","50.395","50.38","50.365","50.35","50.335","50.319","50.304","49.998","49.588","49.177","48.767","48.356","47.946","47.536","47.127","46.717","46.339","45.972","45.606","45.24","44.875","44.511","44.147","43.783","43.421","43.059","42.94","42.957","42.99","43.041","43.108","43.192","43.293",
"Aruba","ABW","Urban population","SP.URB.TOTL","27526","28141","28532","28761","28924","29082","29253","29416","29575","29738","29900","30082","30275","30470","30605","30661","30615","30495","30353","30282","30332","30560","30943","31365","31676","31762","31560","31142","30753","30720","31273","32507","34116","35953","37719","39172","40232","40970","41488","41945","42444","43048","43670","44246","44669","44889","44881","44686","44375","44052","43778","43822","44064","44360","44674","44979","45275","45572",
"Aruba","ABW","Urban population growth (annual %)","SP.URB.GROW","3.11793109529523","2.20965751001928","1.37986767582579","0.799403834717759","0.565139754973623","0.544772577858854","0.586270642979767","0.555661147787928","0.539066586547957","0.549627941058115","0.543279112160929","0.606850583638088","0.639530320613433","0.642030355846162","0.442080130541539","0.182809439479225","-0.150140376790755","-0.392734918149811","-0.466737634045472","-0.234188282178461","0.164978425250874","0.748870345963056","1.24548380077705","1.35458192426163","0.98666747994594","0.271131034028871","-0.638011071078139","-1.33331055584405","-1.25698399498588","-0.107364218990278","1.78411971877619","3.8700345291907","4.83110316977228","5.24460474635475","4.79514163587432","3.77982595793942","2.67004930111156","1.81773926891162","1.25641372375288","1.09550075019494","1.18263237130859","1.41302121757747","1.4345595310351","1.31036043903253","0.951477683657806","0.491302714501917","-0.0178233263254496","-0.435428914884284","-0.69840056617148","-0.730549349288235","-0.623934621173475","0.100456629452575","0.550714816075563","0.66950399359219","0.705351442919869","0.68040372695108","0.655928958860132","0.653848906639225",
"Aruba","ABW","Population, total","SP.POP.TOTL","54211","55438","56225","56695","57032","57360","57715","58055","58386","58726","59063","59440","59840","60243","60528","60657","60586","60366","60103","59980","60096","60567","61345","62201","62836","63026","62644","61833","61079","61032","62149","64622","68235","72504","76700","80324","83200","85451","87277","89005","90853","92898","94992","97017","98737","100031","100832","101220","101353","101453","101669","102053","102577","103187","103795","104341","104822","105264",
"Aruba","ABW","Population growth (annual %)","SP.POP.GROW","3.148036835756","2.23814393117093","1.40962186505264","0.832452557842366","0.592649039152412","0.573468247603765","0.616990877551069","0.587373201209392","0.568529798893749","0.580642385486161","0.572211190382563","0.636272958290957","0.670693325671808","0.671204938221066","0.471968484224108","0.212897716260001","-0.117120177026253","-0.36378107450423","-0.436627543728453","-0.204858377982101","0.193211026493461","0.780690671039871","1.27634779469497","1.38574085431692","1.01570808513779","0.301918202997092","-0.607943306347674","-1.30307040749174","-1.22690942840459","-0.0769791457295957","1.81364109347592","3.90201823649442","5.44027196024455","6.06841030624035","5.62599756207299","4.61667471270029","3.51788923269496","2.66957644161067","2.11438565551552","1.96055791309717","2.0550267831539","2.22593013018195","2.22905604655647","2.10935433511798","1.75735286660729","1.30203884024471","0.797562762684472","0.384060021106787","0.1313107068666","0.0986164197354338","0.212680144365572","0.376984768239015","0.512144988851461","0.592914005394165","0.587492389430341","0.524658158569933","0.459929191971747","0.420780682346729",
